Contig:MEG_7156xxDrugsxxTetracyclinesxxTetracycline_resistance_ribosomal_protection_proteinsxxTETO,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
908	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	2:0.95	1:0.83
909	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.92	1:0.97
910	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.96	0:1.00
911	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	0:1.00
913	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.89	0:0.99
914	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00
915	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.91
917	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.93
920	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	2:0.98	1:0.96	0:0.88
921	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.83	0:0.98
924	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.88	0:1.00
926	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00
927	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	1:0.88
930	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	2:0.72
933	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	2:0.98	1:0.94
936	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:1.00
942	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	1:0.98
948	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.97
949	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.91	1:0.98
950	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.94	0:1.00
951	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99
952	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98
957	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.93	0:0.99
958	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	2:0.86	1:0.93
959	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.92
964	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98	1:1.00
966	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.97	1:0.99
969	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.93
972	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99
973	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	1:0.93
974	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95
975	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99
976	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:0.98
979	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.88	1:0.93
983	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.95	0:0.81
984	0:0.99	0:0.99	0:0.99	0:0.97	0:0.99	0:0.99	0:0.91	1:0.92
987	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.93	1:0.97
992	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.68	1:0.99
993	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	1:0.95	0:0.98
996	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	2:0.97
997	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97
1002	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	1:0.96	2:0.97
1005	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98
1007	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98	1:0.97
1009	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.95	0:1.00
1010	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.93
1011	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.87	0:0.98
1012	0:0.98	0:0.98	0:0.98	0:0.97	0:0.99	0:0.99	1:0.96	2:0.93
1013	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	1:1.00
1014	0:0.99	0:0.98	0:0.98	0:0.97	0:0.98	0:0.99	1:0.89	2:0.98
1020	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.97
1026	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99
1027	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98
1029	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96
1032	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.95
1033	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.89
1035	0:0.99	0:1.00	0:0.99	0:0.96	0:1.00	0:1.00	0:0.99	1:0.96
1036	0:1.00	0:1.00	1:0.98	1:0.98	0:1.00	0:0.99	0:0.99	0:0.98
1038	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	1:0.97
1040	0:0.99	0:0.99	0:1.00	0:0.97	0:1.00	0:0.99	0:0.99	1:0.98
1041	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.97
1047	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.94	0:0.98
1048	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97	1:0.91
1049	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.79
1050	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.97	1:1.00
1052	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.96	0:0.96
1053	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.78	1:0.84
1054	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.95	0:0.96
1055	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:0.90
1056	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96	1:0.59
1058	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.85	0:0.85
1059	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.83	0:0.88
1063	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.97	1:0.99
1065	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98
1066	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.95
1068	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.89
1071	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.90
1072	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	1:0.93
1078	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.90
1079	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.97
1080	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	2:0.97	1:0.90
1081	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98
1083	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.89
1084	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	1:0.91
1086	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.90
1087	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	1:0.96
1088	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	1:0.98
1089	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	1:0.97
1092	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98
1095	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.93
1096	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:0.99	2:0.98	1:0.98
1097	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
1101	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.94
1104	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.96	0:0.95
1105	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.97
1107	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	2:0.97
1110	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99
1111	0:0.98	0:0.99	2:0.98	2:0.98	0:0.99	0:0.98	1:0.98	1:0.97
1112	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99
1113	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	2:0.98	1:0.89
1119	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	0:0.99
1123	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	0:0.99
1126	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00
1179	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00
1180	0:0.99	0:0.77	0:0.99	0:0.98	0:0.62	0:0.99	0:1.00	0:1.00
1221	1:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
1410	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1674	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
1708	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00
1749	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
1784	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99
