Contig:MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14
	1713	1:0.74	1:0.96	1:0.88	0:0.86	1:0.99	0:0.98	1:0.98	0:0.87	0:0.97	0:0.98	0:0.99	1:1.00	0:0.85	0:1.00	0:0.74
	1714	0:0.98	0:0.94	0:0.96	0:0.99	0:0.97	0:0.99	0:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00
	1770	1:0.62	0:0.99	0:0.86	1:0.79	0:0.99	0:0.98	0:0.99	1:0.79	1:0.96	1:0.80	0:0.99	0:1.00	1:0.90	1:0.94	0:0.51
	1788	1:0.83	0:0.96	0:0.99	1:0.96	0:0.97	1:0.97	0:0.99	1:0.79	1:0.97	1:0.96	1:0.98	0:0.98	1:0.94	1:0.98	1:0.53
	1806	0:0.98	0:1.00	0:0.99	0:0.89	0:0.99	1:0.91	0:1.00	0:0.98	0:0.99	0:0.88	1:0.98	0:1.00	0:0.97	0:0.98	0:1.00
	1807	0:0.94	0:0.98	0:0.88	1:0.98	0:0.97	1:0.93	0:1.00	1:0.65	1:0.97	1:0.94	1:0.99	0:0.99	1:0.97	1:0.97	0:0.99
	1808	0:0.99	0:0.99	0:0.97	0:0.93	0:0.99	0:0.90	0:0.99	0:0.95	0:0.92	0:0.92	0:0.94	0:1.00	0:0.91	0:0.92	0:0.99
	1818	0:0.98	0:0.99	0:0.98	1:0.72	0:0.98	0:1.00	0:1.00	0:0.98	1:0.94	1:0.76	0:0.99	0:0.99	1:0.94	1:0.85	0:1.00
	1827	0:0.78	0:0.98	0:0.99	1:0.84	0:0.97	1:0.95	0:1.00	0:0.98	1:0.98	1:0.93	1:0.98	0:0.99	1:0.97	1:0.67	0:0.97
	1847	1:0.82	0:0.97	0:0.86	1:1.00	0:0.92	1:0.97	0:0.99	0:0.99	1:1.00	1:0.99	1:0.97	0:0.99	1:0.98	0:0.93	0:0.95
	1850	0:0.96	0:0.98	0:0.85	1:0.64	0:0.96	0:0.98	0:1.00	0:1.00	1:0.93	1:0.78	0:0.99	0:0.99	1:0.93	0:1.00	0:1.00
	1881	1:0.71	0:0.99	0:1.00	0:0.99	0:0.96	0:0.97	0:1.00	0:1.00	0:0.99	0:0.95	0:1.00	0:1.00	0:1.00	0:1.00	0:0.97
	1902	1:0.62	0:0.97	0:0.98	0:0.89	0:0.77	0:0.98	0:0.99	0:1.00	0:0.99	0:0.91	0:1.00	0:0.99	0:0.99	0:0.98	0:0.96
	1919	1:0.81	0:0.95	0:0.86	1:0.89	1:0.88	1:0.93	0:0.99	0:0.98	0:0.60	1:0.93	1:0.93	0:0.98	1:0.95	0:0.96	0:0.96
