Contig:GCF_900128535_000000000015,Range:25000-28000	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14	Haplotype:15	Haplotype:16
22623	0:0.83	0:0.97	0:0.94	0:1.00	0:0.96	1:0.71	0:1.00	0:0.76	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	1:1.00	-	-	-
22864	0:0.92	0:0.96	0:1.00	1:1.00	1:1.00	1:1.00	0:0.88	0:1.00	1:1.00	0:1.00	1:1.00	0:1.00	1:1.00	1:0.64	0:1.00	-	-
22867	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	1:1.00	0:0.87	0:1.00	1:0.83	0:1.00	1:1.00	0:1.00	1:1.00	0:1.00	0:1.00	-	-
22879	0:1.00	0:1.00	0:0.93	1:1.00	1:1.00	1:1.00	0:0.88	0:1.00	1:1.00	0:1.00	1:1.00	0:1.00	1:1.00	1:0.50	0:1.00	-	-
22912	0:1.00	0:1.00	0:0.89	0:0.85	1:0.94	1:0.94	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:0.70	0:1.00	-	-
22918	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:0.89	0:0.87	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:0.51	0:1.00	-	-
22936	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:0.86	0:0.87	0:1.00	1:0.80	0:1.00	0:1.00	0:1.00	1:1.00	1:0.65	0:1.00	-	-
22984	0:1.00	0:1.00	0:0.95	0:1.00	1:0.90	1:0.74	0:0.85	0:1.00	1:0.88	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	-	-	-
23025	0:1.00	0:0.96	0:1.00	0:1.00	1:1.00	1:1.00	0:0.87	0:1.00	1:1.00	0:1.00	0:1.00	-	-	1:1.00	0:1.00	-	-
23026	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	0:0.87	0:1.00	1:0.79	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	-	-
23032	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	1:1.00	0:0.80	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	-	-	-
23242	0:0.92	0:1.00	0:1.00	1:1.00	1:0.95	1:0.77	1:1.00	0:1.00	1:0.82	0:1.00	1:1.00	0:1.00	0:1.00	1:1.00	-	-	-
23254	0:1.00	0:1.00	0:1.00	0:0.58	1:0.90	1:1.00	1:0.68	0:1.00	1:0.80	0:1.00	1:1.00	-	1:1.00	1:1.00	-	-	-
23255	0:0.93	0:1.00	0:1.00	1:1.00	1:0.93	1:1.00	1:1.00	0:1.00	1:0.79	0:0.92	1:1.00	0:1.00	1:1.00	1:1.00	0:1.00	-	-
23269	0:1.00	0:1.00	0:1.00	1:1.00	1:0.84	1:1.00	1:0.88	0:1.00	1:0.60	0:1.00	1:1.00	0:1.00	1:1.00	1:1.00	-	-	-
23281	0:1.00	0:0.94	0:1.00	1:1.00	1:0.84	1:1.00	0:0.67	0:1.00	1:0.82	0:1.00	1:1.00	0:1.00	1:1.00	1:1.00	-	-	-
23290	0:1.00	0:1.00	0:1.00	1:1.00	1:1.00	1:1.00	1:1.00	0:1.00	1:1.00	0:1.00	1:1.00	-	1:1.00	1:1.00	-	-	-
23305	0:0.86	0:0.86	0:1.00	1:1.00	1:0.78	1:0.93	1:1.00	0:1.00	1:0.85	0:0.91	1:1.00	1:1.00	1:1.00	1:0.68	0:1.00	-	-
23308	0:1.00	0:0.92	0:1.00	1:1.00	1:1.00	1:0.88	1:1.00	0:1.00	1:1.00	0:0.93	1:0.80	-	1:1.00	1:1.00	-	-	-
23397	0:0.86	0:1.00	0:0.93	1:1.00	1:0.94	1:0.83	1:0.72	0:1.00	1:1.00	1:0.90	1:1.00	0:1.00	1:1.00	1:1.00	-	-	-
23403	0:1.00	0:0.98	0:0.93	1:1.00	1:1.00	1:0.85	1:1.00	0:0.80	1:1.00	1:0.93	1:1.00	0:1.00	1:1.00	1:0.63	-	-	-
23437	0:1.00	0:0.95	0:0.87	1:1.00	1:0.93	1:1.00	1:1.00	0:0.81	1:1.00	1:1.00	1:1.00	0:1.00	1:1.00	1:1.00	-	-	-
23463	0:0.93	0:0.97	0:0.90	1:1.00	1:1.00	1:1.00	1:0.92	1:1.00	1:0.81	1:0.81	1:1.00	0:1.00	1:1.00	1:1.00	-	-	-
23472	0:0.84	0:0.97	0:0.83	1:1.00	1:0.91	1:0.80	1:1.00	1:0.79	1:1.00	1:0.92	1:0.85	0:1.00	1:1.00	1:1.00	-	-	-
23489	0:0.93	0:0.97	0:0.86	1:1.00	1:1.00	1:0.90	1:0.88	1:0.73	1:0.89	0:0.90	1:0.74	0:1.00	1:1.00	1:1.00	-	-	-
23552	0:0.95	0:0.98	0:1.00	1:0.59	1:0.75	0:0.50	1:1.00	0:1.00	0:1.00	1:0.94	1:1.00	-	1:1.00	0:1.00	1:1.00	-	-
23560	0:1.00	0:1.00	0:1.00	1:0.73	1:0.73	1:0.87	1:1.00	0:1.00	0:1.00	1:0.89	1:0.80	0:1.00	1:1.00	0:1.00	1:1.00	-	-
23579	0:0.94	0:0.97	0:1.00	1:0.88	1:0.85	1:0.82	1:1.00	0:0.72	0:1.00	1:0.87	1:1.00	0:1.00	1:1.00	0:1.00	1:1.00	-	-
23591	0:0.85	0:0.97	0:1.00	1:0.86	1:0.83	1:0.89	1:1.00	1:0.66	0:1.00	1:1.00	1:1.00	0:1.00	1:1.00	0:1.00	1:1.00	-	-
23606	0:0.94	0:1.00	0:1.00	1:0.85	1:0.85	1:0.83	1:1.00	1:0.59	0:1.00	0:1.00	1:1.00	0:1.00	-	0:1.00	1:1.00	-	-
23621	0:0.83	0:0.97	0:0.94	1:0.82	1:0.84	1:0.57	1:1.00	0:0.51	0:1.00	0:1.00	1:1.00	0:1.00	1:1.00	0:1.00	1:1.00	1:1.00	-
24014	0:0.87	0:1.00	0:0.93	0:0.85	0:0.77	0:1.00	0:0.77	0:0.74	1:1.00	1:0.91	0:1.00	0:1.00	0:1.00	1:0.79	0:1.00	1:1.00	-
24768	0:0.93	0:1.00	0:1.00	1:1.00	1:0.86	1:0.66	0:1.00	0:1.00	1:1.00	0:1.00	1:1.00	0:1.00	0:0.67	0:1.00	0:1.00	0:1.00	-
25114	0:0.94	0:0.91	0:1.00	1:1.00	1:0.69	0:1.00	0:0.75	1:0.63	0:0.60	0:1.00	1:1.00	0:1.00	1:0.67	0:0.73	0:1.00	0:1.00	-
25340	0:1.00	0:0.88	0:0.95	1:1.00	1:0.90	0:0.85	0:1.00	1:0.72	1:1.00	0:1.00	1:1.00	0:1.00	1:0.74	1:0.54	0:0.75	1:1.00	-
25450	0:0.92	0:0.82	0:0.97	1:0.72	1:0.77	0:0.86	0:1.00	1:1.00	0:1.00	0:1.00	1:1.00	0:1.00	1:1.00	1:0.72	0:1.00	1:1.00	-
25464	0:0.86	0:0.89	0:0.94	1:0.76	1:0.78	0:0.67	0:1.00	1:1.00	0:1.00	0:1.00	1:0.54	0:1.00	1:1.00	1:0.90	0:1.00	1:0.61	-
26041	0:0.83	0:0.86	0:0.94	0:1.00	0:1.00	1:0.74	0:1.00	0:0.75	-	1:0.78	0:1.00	0:0.85	1:0.74	0:1.00	0:0.51	1:0.52	-
26175	0:1.00	0:0.96	0:0.94	1:1.00	1:1.00	0:0.94	0:0.87	1:0.84	-	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:0.69	0:0.51	-
26266	0:0.87	0:0.89	0:0.90	1:0.75	1:0.81	1:0.74	0:0.88	0:0.94	-	1:0.84	1:1.00	0:0.68	1:1.00	0:1.00	0:0.60	0:1.00	-
26421	0:1.00	0:0.96	1:0.71	1:1.00	1:0.98	0:0.88	0:0.75	1:0.89	-	0:1.00	1:1.00	0:1.00	0:1.00	0:0.73	1:0.80	1:1.00	-
27258	0:0.88	0:0.97	0:0.83	0:1.00	0:0.87	0:1.00	0:1.00	1:0.89	-	0:0.73	0:1.00	1:0.83	0:1.00	1:0.73	1:0.80	1:0.52	0:1.00
27264	0:0.86	0:1.00	0:0.74	0:1.00	0:0.96	0:1.00	0:1.00	1:0.90	-	0:0.68	0:1.00	1:0.83	0:1.00	1:0.69	0:0.72	0:0.51	0:1.00
27585	1:1.00	0:1.00	0:0.92	0:1.00	0:1.00	1:0.84	0:0.67	0:0.89	-	0:0.68	0:1.00	0:1.00	1:1.00	0:0.67	0:0.66	0:0.67	1:0.64
27621	1:0.91	0:1.00	1:1.00	0:1.00	0:1.00	1:0.92	0:1.00	0:0.86	-	0:0.53	0:1.00	1:0.88	1:1.00	0:1.00	1:1.00	0:0.67	0:1.00
27622	1:0.90	0:1.00	1:1.00	0:1.00	0:1.00	1:0.93	0:0.50	0:0.79	-	0:0.59	0:1.00	1:0.86	1:1.00	0:1.00	1:1.00	0:0.65	0:1.00
27768	0:0.92	1:0.96	0:1.00	0:1.00	0:1.00	0:0.93	1:1.00	0:1.00	-	1:0.63	0:1.00	0:0.84	0:1.00	1:0.59	0:0.85	0:1.00	0:0.66
27857	0:0.91	0:0.93	1:0.92	0:1.00	1:0.79	0:0.94	0:1.00	0:1.00	-	0:1.00	1:1.00	1:0.58	0:1.00	0:0.65	1:1.00	0:1.00	0:1.00
28158	0:0.94	0:0.93	1:0.85	0:0.95	0:1.00	1:0.85	0:1.00	0:1.00	-	0:0.87	-	1:0.85	0:1.00	0:1.00	0:0.64	0:0.65	1:1.00
28175	1:0.90	0:1.00	0:1.00	1:0.93	1:1.00	0:0.92	0:1.00	1:1.00	-	0:1.00	-	0:1.00	1:1.00	1:0.66	0:1.00	1:0.65	0:1.00
28201	1:1.00	0:1.00	0:0.95	1:1.00	1:1.00	0:1.00	0:1.00	1:1.00	-	0:1.00	-	1:0.94	1:1.00	1:0.74	1:1.00	0:1.00	0:1.00
28202	1:1.00	0:1.00	0:1.00	1:1.00	1:1.00	0:1.00	0:1.00	1:1.00	-	0:1.00	-	1:0.94	1:1.00	1:0.76	1:1.00	0:1.00	0:1.00
28298	0:1.00	0:0.87	1:0.82	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	-	1:0.92	-	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00
28343	1:0.93	0:0.84	1:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	-	1:0.90	-	1:0.85	1:1.00	1:0.51	1:0.66	0:0.69	1:1.00
28408	0:0.94	0:0.85	1:0.92	0:1.00	0:0.96	1:1.00	0:1.00	0:1.00	-	1:0.80	-	0:1.00	-	0:1.00	1:0.67	0:1.00	0:0.75
28486	0:0.93	0:1.00	0:1.00	1:0.94	1:0.87	0:1.00	0:1.00	0:1.00	-	0:1.00	-	0:0.85	-	0:1.00	0:0.77	0:1.00	0:1.00
28517	0:0.94	0:1.00	0:0.89	1:1.00	1:0.81	0:1.00	0:1.00	0:1.00	-	0:1.00	-	1:0.88	-	0:1.00	0:1.00	0:1.00	0:1.00
28532	0:1.00	0:1.00	0:0.93	1:1.00	1:0.95	0:1.00	0:1.00	0:1.00	-	0:1.00	-	1:0.96	-	0:1.00	0:0.74	0:0.50	0:1.00
28535	1:0.58	1:0.86	0:1.00	0:1.00	0:0.94	0:1.00	1:1.00	0:0.82	-	0:0.90	-	0:1.00	-	0:0.74	0:1.00	0:1.00	0:0.75
28574	0:1.00	0:1.00	0:0.93	1:1.00	1:0.91	0:1.00	0:1.00	0:1.00	-	0:1.00	-	1:0.89	-	0:1.00	0:1.00	1:1.00	0:1.00
28590	0:0.93	0:1.00	0:0.92	1:1.00	1:0.96	0:1.00	0:1.00	0:1.00	-	0:1.00	-	1:1.00	-	0:1.00	0:1.00	0:1.00	0:1.00
28619	0:0.89	0:1.00	0:0.92	1:0.93	1:0.96	1:0.82	0:1.00	1:0.74	-	1:1.00	-	1:0.90	-	0:1.00	0:1.00	1:1.00	1:1.00
28634	0:0.95	0:0.88	1:0.90	0:1.00	0:1.00	1:1.00	0:1.00	1:1.00	-	1:0.90	-	0:0.95	-	1:0.76	1:0.65	0:1.00	1:1.00
28652	0:0.86	0:1.00	0:0.94	1:0.93	1:0.89	0:1.00	0:1.00	0:1.00	-	0:0.91	-	1:0.86	-	0:0.57	0:1.00	1:1.00	0:1.00
28661	0:0.86	0:1.00	0:0.88	1:0.93	1:1.00	0:1.00	0:1.00	0:1.00	-	0:1.00	-	1:0.86	-	1:0.55	0:1.00	1:1.00	0:1.00
28667	0:1.00	0:1.00	0:0.86	1:1.00	1:1.00	1:0.80	0:1.00	1:1.00	-	1:0.89	-	1:1.00	-	0:1.00	0:1.00	1:1.00	0:1.00
28682	0:0.92	0:1.00	0:0.93	1:0.68	1:0.97	1:0.83	0:1.00	1:1.00	-	1:0.81	-	1:0.93	-	0:1.00	0:1.00	1:0.77	0:1.00
